Date,Temperature,Weather,Wind Force
Mon 13 Dec 2026,-3°C,Snow,10 km/h
Fri 25 Feb 2027,7°C,Rain,15 km/h
Wed 07 Jun 2028,25°C,Partly Cloudy,20 km/h
Tue 18 Mar 2025,12°C,Cloudy,8 km/h
Sun 30 Sep 2029,18°C,Sunny,12 km/h
Thu 21 Apr 2027,15°C,Rain,18 km/h
Sat 14 Oct 2028,10°C,Partly Cloudy,5 km/h
Wed 03 Jan 2029,-5°C,Snow,25 km/h
Mon 12 Nov 2026,5°C,Rain,13 km/h
Tue 22 Aug 2027,28°C,Sunny,10 km/h
Fri 19 Jul 2024,30°C,Sunny,8 km/h
Thu 05 May 2028,20°C,Partly Cloudy,14 km/h
Sun 29 Feb 2028,2°C,Snow,30 km/h
Tue 11 Jun 2024,24°C,Partly Cloudy,16 km/h
Sat 17 Nov 2029,6°C,Rain,9 km/h
Wed 06 Des 2026,5°C,Rain,12 km/h